stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
100000,100000,IBRAHIMPATNAM,,16.585,80.555,,,0,
100001,100001,SWATHI,,16.528,80.595,,,0,
100002,100002,KUMMARI PALEM,,16.526,80.59,,,0,
100003,100003,KR MARKET,,16.5205,80.6135,,,0,
100004,100004,RAILWAY STN,,16.5189,80.6232,,,0,
100005,100005,BUNDAR ROAD,,16.508,80.64,,,0,
100006,100006,IGMC STADIUM,,16.5075,80.643,,,0,
100007,100007,BENZ CIRCLE,,16.4979,80.6537,,,0,
100008,100008,PATAMATA,,16.4951,80.6611,,,0,
100009,100009,AUTONAGAR GATE,,16.4895,80.6695,,,0,
100010,100010,KAMAYYATHOPU,,16.4839,80.6862,,,0,
100011,100011,PORANKI,,16.4761,80.7068,,,0,
100012,100012,BHAVANI PURAM,,16.523,80.595,,,0,
100013,100013,KANUR,,16.474,80.695,,,0,
100014,100014,KANKIPADU,,16.47,80.71,,,0,
100015,100015,TUMMALAPALLI KALKSHETRAM,,16.522,80.615,,,0,
100016,100016,BUS STAND,,16.519,80.617,,,0,
100017,100017,OLD BUS STAND,,16.517,80.62,,,0,
100018,100018,BUNGLAW,,16.5155,80.625,,,0,
100019,100019,LENINE CENTER,,16.5135,80.628,,,0,
100020,100020,BESENT ROAD,,16.51,80.633,,,0,
100021,100021,RAMANDIRAM,,16.516,80.635,,,0,
100022,100022,VIJAYATALKIES,,16.5175,80.638,,,0,
100023,100023,KOTHAVANTENA,,16.519,80.641,,,0,
100024,100024,SITARAMPURAM,,16.5195,80.644,,,0,
100025,100025,CHUTTUGUNTA,,16.518,80.6465,,,0,
100026,100026,MARUTHINAGAR,,16.5205,80.648,,,0,
100027,100027,SRR COLLEGE,,16.5185,80.6489,,,0,
100028,100028,ANJANEYA SWAMY TEMPLE,,16.517,80.651,,,0,
100029,100029,MACHAVARAM,,16.515,80.654,,,0,
100030,100030,PADAVALAREVU,,16.513,80.657,,,0,
100031,100031,GUNADALA CHURCH,,16.511,80.66,,,0,
100032,100032,GUNADALA,,16.5095,80.662,,,0,
100033,100033,GUNADALA VANTHENA,,16.507,80.665,,,0,
100034,100034,ESI,,16.5045,80.668,,,0,
100035,100035,POWER OFFICE,,16.5015,80.671,,,0,
100036,100036,RING ROAD,,16.4985,80.674,,,0,
100037,100037,RAMAVARAPADU,,16.5241,80.6767,,,0,
100038,100038,KALESWARARAO MARKET,,16.5205,80.6135,,,0,
100039,100039,KANURU,,16.474,80.695,,,0,
100040,100040,KABELA,,16.509,80.591,,,0,
100041,100041,GOVERNMENT PRESS,,16.515,80.597,,,0,
100042,100042,MILK PROJECT,,16.528,80.608,,,0,
100043,100043,DEVI NAGAR,,16.531,80.601,,,0,
100044,100044,NAKKAL ROAD,,16.514,80.627,,,0,
100045,100045,PUSHPA HOTEL,,16.5005,80.6465,,,0,
100046,100046,RAMESH HOSPITAL,,16.504,80.652,,,0,
100047,100047,AUTONAGAR,,16.4907,80.6709,,,0,
100048,100048,GURUNANAK COLONY,,16.493,80.665,,,0,
100049,100049,RAILWAY STATION,,16.5189,80.6232,,,0,
100050,100050,PEDDA PULI PAKA,,16.478,80.695,,,0,
100051,100051,PNBS,,16.5195,80.618,,,0,
100052,100052,YANAMALA KUDURU,,16.485,80.7,,,0,
100053,100053,PENAMALURU,,16.468,80.733,,,0,
100054,100054,CHODAVARAM,,16.455,80.745,,,0,
100055,100055,WAGON WORKSHOP COLONY,,16.575,80.61,,,0,
100056,100056,MADHURA NAGAR,,16.498,80.625,,,0,
100057,100057,ELAPROLU,,16.57,80.59,,,0,
100058,100058,SATYANARAYANAPURAM COLONY,,16.5213,80.6287,,,0,
100059,100059,VOMBAY COLONY,,16.498,80.641,,,0,
100060,100060,NEW RAJA RAJESWARI PET,,16.51886918067284,80.66752318121353,,,0,
100061,100061,MADHURANAGAR,,16.497,80.631,,,0,
100062,100062,MANGALAGIRI,,16.4309,80.5804,,,0,
100063,100063,GANGURU,,16.4675,80.7279,,,0,
100064,100064,KESARANENI VARI PALEM,,16.46,80.74,,,0,
100065,100065,HB COLONY,,16.532,80.605,,,0,
100066,100066,PANJA,,16.511,80.619,,,0,
100067,100067,BUNGLOW,,16.513658233358584,80.66130030889018,,,0,
100068,100068,PWD GROUNDS,,16.512,80.637,,,0,
100069,100069,VINAYAK THEATRE,,16.508,80.654,,,0,
100070,100070,NTR HEALTH UNIV,,16.5156,80.6699,,,0,
100071,100071,RAMAVARAPADU RING,,16.5241,80.6767,,,0,
100072,100072,MARUTHI NAGAR,,16.518112979295502,80.65645189274152,,,0,
100073,100073,VIJAYA TALKIES,,16.519746409856783,80.65378262849076,,,0,
100074,100074,TADIGADAPA,,16.4798,80.6979,,,0,
100075,100075,VARADHI,,16.5022,80.6333,,,0,
100076,100076,MANIPAL HOSPITAL,,16.4841,80.6192,,,0,
100077,100077,CHINNA KAKANI,,16.4,80.56,,,0,
100078,100078,NRI HOSPITAL,,16.42,80.575,,,0,
100079,100079,NSB NAGAR,,16.485,80.655,,,0,
100080,100080,AUTO NAGAR,,16.51840820584065,80.66568207557962,,,0,
100081,100081,BANDAR ROAD,,16.508,80.64,,,0,
100082,100082,NUNNA,,16.595,80.695,,,0,
100083,100083,MANAGALAPURAM,,16.51,80.71,,,0,
100084,100084,KUNDA VARI KANDRIKA,,16.505,80.72,,,0,
100085,100085,AUTONAGAR TERMINAL,,16.4901,80.6715,,,0,
100086,100086,ELURU ROAD,,16.515,80.67,,,0,
100087,100087,RAMAVARRAPADU,,16.5241,80.6767,,,0,
100088,100088,RAMAVARAPPADU,,16.511556399953328,80.65805313573227,,,0,
100089,100089,WHOLESALE MARKET,,16.521,80.612,,,0,
100090,100090,MUSTHABADH,,16.545,80.585,,,0,
100091,100091,RAMAVARAPAPU RING,,16.52273321633953,80.65954670448245,,,0,
100092,100092,NIDAMANURU,,16.5106,80.7164,,,0,
100093,100093,GANNAVARAM,,16.54,80.8,,,0,
100094,100094,KG PADU,,16.53,80.63,,,0,
100095,100095,MADDURU,,16.44,80.73,,,0,
100096,100096,SHABADH,,16.508,80.668,,,0,
100097,100097,VRSEC,,16.4821,80.6914,,,0,
100098,100098,UPPULURU,,16.487,80.695,,,0,
100099,100099,KONDAPALLI,,16.62,80.53,,,0,
100100,100100,KONDAPALI,,16.508643558920514,80.66408992876005,,,0,
100101,100101,KAVULURU,,16.55,80.6,,,0,
100102,100102,PEDAOUTPALLI,,16.516468678607346,80.64829355386503,,,0,
100103,100103,TELPROLU,,16.509351091846664,80.6570379413607,,,0,
100104,100104,ORUGALLA,,16.52,80.59,,,0,
100105,100105,PODDUTURU,,16.51,80.75,,,0,
100106,100106,KONDURU,,16.52,80.76,,,0,
100107,100107,TTENNERU,,16.525,80.77,,,0,
100108,100108,AGIRAPALLI,,16.53,80.79,,,0,
100109,100109,VALLURU PALEM,,16.48,80.74,,,0,
100110,100110,ROYYURU,,16.47,80.75,,,0,
100111,100111,THOTLAVALLURU,,16.3476,80.7795,,,0,
100112,100112,KOLLVENU,,16.46,80.76,,,0,
100113,100113,CHIKKAVARAM,,16.53,80.8,,,0,
100114,100114,GANNAVARAM (VIA P PATNAM),,16.51807156856742,80.66604617049849,,,0,
100115,100115,GANNAVARAM (VIA S.GUDEM),,16.51597750708482,80.6640437717073,,,0,
100116,100116,MUDIRAJU PALEM,,16.52,80.78,,,0,
100117,100117,NUTAKKI,,16.535,80.62,,,0,
100118,100118,BUSSTAND,,16.516956130775736,80.64921623232931,,,0,
100119,100119,MAILAVARAM,,16.55,80.58,,,0,
100120,100120,TENNARU,,16.51,80.64,,,0,
100121,100121,VUYYURU,,16.3651,80.8424,,,0,
100122,100122,MANIKONDA,,16.48,80.75,,,0,
100123,100123,CHIRAVURU,,16.51,80.65,,,0,
100124,100124,KANASANEPALLI,,16.5,80.77,,,0,
100125,100125,VEMANDA,,16.44,80.75,,,0,
100126,100126,HANUMAN JUNCTION,,16.555,80.82,,,0,
100127,100127,PWD GROUND,,16.50716920590629,80.66142662772722,,,0,
100128,100128,PEDA OGIRALA,,16.3934,80.8142,,,0,
100129,100129,VIJAYAWADA,,16.5062,80.648,,,0,
100130,100130,KANCHIKA CHARLA,,16.54,80.57,,,0,
100131,100131,MOGHULURU,,16.5,80.6,,,0,
100132,100132,VEERULAPADU,,16.49,80.61,,,0,
100133,100133,CHINOUTPALLI,,16.65,80.78,,,0,
100134,100134,NUZIVIDU,,16.785,80.8488,,,0,
100135,100135,IBRAHIMPATAM,,16.52259838905814,80.66028293781059,,,0,
100136,100136,JAMALAPURAM,,16.57,80.55,,,0,
100137,100137,KANCHIKACHARLA,,16.54,80.57,,,0,
100138,100138,MILAVARAM,,16.54,80.56,,,0,
100139,100139,PAMARRU,,16.323,80.9576,,,0,
100140,100140,SATYANARANA PURAM,,16.5213,80.6287,,,0,
100141,100141,BRTS ROAD,,16.523,80.66,,,0,
