shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_VJA_001,16.585,80.555,1
SHAPE_VJA_001,16.528,80.595,2
SHAPE_VJA_001,16.526,80.59,3
SHAPE_VJA_001,16.5205,80.6135,4
SHAPE_VJA_001,16.5189,80.6232,5
SHAPE_VJA_001,16.508,80.64,6
SHAPE_VJA_001,16.5075,80.643,7
SHAPE_VJA_001,16.4979,80.6537,8
SHAPE_VJA_001,16.4951,80.6611,9
SHAPE_VJA_001,16.4895,80.6695,10
SHAPE_VJA_001,16.4839,80.6862,11
SHAPE_VJA_001,16.4761,80.7068,12
SHAPE_VJA_002,16.526,80.59,1
SHAPE_VJA_002,16.523,80.595,2
SHAPE_VJA_002,16.5189,80.6232,3
SHAPE_VJA_002,16.5075,80.643,4
SHAPE_VJA_002,16.4979,80.6537,5
SHAPE_VJA_002,16.4951,80.6611,6
SHAPE_VJA_002,16.4895,80.6695,7
SHAPE_VJA_002,16.474,80.695,8
SHAPE_VJA_002,16.4761,80.7068,9
SHAPE_VJA_002,16.47,80.71,10
SHAPE_VJA_003,16.5205,80.6135,1
SHAPE_VJA_003,16.522,80.615,2
SHAPE_VJA_003,16.519,80.617,3
SHAPE_VJA_003,16.517,80.62,4
SHAPE_VJA_003,16.5155,80.625,5
SHAPE_VJA_003,16.5135,80.628,6
SHAPE_VJA_003,16.51,80.633,7
SHAPE_VJA_003,16.516,80.635,8
SHAPE_VJA_003,16.5175,80.638,9
SHAPE_VJA_003,16.519,80.641,10
SHAPE_VJA_003,16.5195,80.644,11
SHAPE_VJA_003,16.518,80.6465,12
SHAPE_VJA_003,16.5205,80.648,13
SHAPE_VJA_003,16.5185,80.6489,14
SHAPE_VJA_003,16.517,80.651,15
SHAPE_VJA_003,16.515,80.654,16
SHAPE_VJA_003,16.513,80.657,17
SHAPE_VJA_003,16.511,80.66,18
SHAPE_VJA_003,16.5095,80.662,19
SHAPE_VJA_003,16.507,80.665,20
SHAPE_VJA_003,16.5045,80.668,21
SHAPE_VJA_003,16.5015,80.671,22
SHAPE_VJA_003,16.4985,80.674,23
SHAPE_VJA_003,16.5241,80.6767,24
SHAPE_VJA_004,16.5205,80.6135,1
SHAPE_VJA_004,16.474,80.695,2
SHAPE_VJA_005,16.509,80.591,1
SHAPE_VJA_005,16.515,80.597,2
SHAPE_VJA_006,16.528,80.608,1
SHAPE_VJA_006,16.531,80.601,2
SHAPE_VJA_007,16.509,80.591,1
SHAPE_VJA_007,16.5205,80.6135,2
SHAPE_VJA_007,16.522,80.615,3
SHAPE_VJA_007,16.519,80.617,4
SHAPE_VJA_007,16.517,80.62,5
SHAPE_VJA_007,16.514,80.627,6
SHAPE_VJA_007,16.51,80.633,7
SHAPE_VJA_007,16.5005,80.6465,8
SHAPE_VJA_007,16.504,80.652,9
SHAPE_VJA_007,16.4979,80.6537,10
SHAPE_VJA_007,16.4951,80.6611,11
SHAPE_VJA_007,16.4907,80.6709,12
SHAPE_VJA_008,16.5205,80.6135,1
SHAPE_VJA_008,16.522,80.615,2
SHAPE_VJA_008,16.519,80.617,3
SHAPE_VJA_008,16.517,80.62,4
SHAPE_VJA_008,16.514,80.627,5
SHAPE_VJA_008,16.51,80.633,6
SHAPE_VJA_008,16.5005,80.6465,7
SHAPE_VJA_008,16.504,80.652,8
SHAPE_VJA_008,16.493,80.665,9
SHAPE_VJA_008,16.4907,80.6709,10
SHAPE_VJA_009,16.5189,80.6232,1
SHAPE_VJA_009,16.517,80.62,2
SHAPE_VJA_009,16.514,80.627,3
SHAPE_VJA_009,16.51,80.633,4
SHAPE_VJA_009,16.5005,80.6465,5
SHAPE_VJA_009,16.504,80.652,6
SHAPE_VJA_009,16.493,80.665,7
SHAPE_VJA_009,16.4907,80.6709,8
SHAPE_VJA_010,16.5205,80.6135,1
SHAPE_VJA_010,16.508,80.64,2
SHAPE_VJA_010,16.5075,80.643,3
SHAPE_VJA_010,16.4979,80.6537,4
SHAPE_VJA_010,16.4951,80.6611,5
SHAPE_VJA_010,16.4895,80.6695,6
SHAPE_VJA_010,16.478,80.695,7
SHAPE_VJA_011,16.528,80.608,1
SHAPE_VJA_011,16.5205,80.6135,2
SHAPE_VJA_011,16.5195,80.618,3
SHAPE_VJA_011,16.517,80.62,4
SHAPE_VJA_011,16.508,80.64,5
SHAPE_VJA_011,16.5075,80.643,6
SHAPE_VJA_011,16.4979,80.6537,7
SHAPE_VJA_011,16.4951,80.6611,8
SHAPE_VJA_011,16.4895,80.6695,9
SHAPE_VJA_011,16.485,80.7,10
