trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_VJA_001,06:00:00,06:01:00,100000,1
TRIP_VJA_001,06:03:00,06:04:00,100001,2
TRIP_VJA_001,06:06:00,06:07:00,100002,3
TRIP_VJA_001,06:09:00,06:10:00,100003,4
TRIP_VJA_001,06:12:00,06:13:00,100004,5
TRIP_VJA_001,06:15:00,06:16:00,100005,6
TRIP_VJA_001,06:18:00,06:19:00,100006,7
TRIP_VJA_001,06:21:00,06:22:00,100007,8
TRIP_VJA_001,06:24:00,06:25:00,100008,9
TRIP_VJA_001,06:27:00,06:28:00,100009,10
TRIP_VJA_001,07:30:00,07:31:00,100010,11
TRIP_VJA_001,07:33:00,07:34:00,100011,12
TRIP_VJA_002,06:00:00,06:01:00,100002,1
TRIP_VJA_002,06:03:00,06:04:00,100012,2
TRIP_VJA_002,06:06:00,06:07:00,100004,3
TRIP_VJA_002,06:09:00,06:10:00,100006,4
TRIP_VJA_002,06:12:00,06:13:00,100007,5
TRIP_VJA_002,06:15:00,06:16:00,100008,6
TRIP_VJA_002,06:18:00,06:19:00,100009,7
TRIP_VJA_002,06:21:00,06:22:00,100013,8
TRIP_VJA_002,06:24:00,06:25:00,100011,9
TRIP_VJA_002,06:27:00,06:28:00,100014,10
TRIP_VJA_003,06:00:00,06:01:00,100003,1
TRIP_VJA_003,06:03:00,06:04:00,100015,2
TRIP_VJA_003,06:06:00,06:07:00,100016,3
TRIP_VJA_003,06:09:00,06:10:00,100017,4
TRIP_VJA_003,06:12:00,06:13:00,100018,5
TRIP_VJA_003,06:15:00,06:16:00,100019,6
TRIP_VJA_003,06:18:00,06:19:00,100020,7
TRIP_VJA_003,06:21:00,06:22:00,100021,8
TRIP_VJA_003,06:24:00,06:25:00,100022,9
TRIP_VJA_003,06:27:00,06:28:00,100023,10
TRIP_VJA_003,07:30:00,07:31:00,100024,11
TRIP_VJA_003,07:33:00,07:34:00,100025,12
TRIP_VJA_003,07:36:00,07:37:00,100026,13
TRIP_VJA_003,07:39:00,07:40:00,100027,14
TRIP_VJA_003,07:42:00,07:43:00,100028,15
TRIP_VJA_003,07:45:00,07:46:00,100029,16
TRIP_VJA_003,07:48:00,07:49:00,100030,17
TRIP_VJA_003,07:51:00,07:52:00,100031,18
TRIP_VJA_003,07:54:00,07:55:00,100032,19
TRIP_VJA_003,07:57:00,07:58:00,100033,20
