route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
VJA_001,ALL,TRIP_VJA_001,IBRAHIMPATNAM - PORANKI,0,SHAPE_VJA_001
VJA_002,ALL,TRIP_VJA_002,GOLLAPUDI-KANKIPADU,0,SHAPE_VJA_002
VJA_003,ALL,TRIP_VJA_003,KALESWARARAO MARKET - RAMAVARRAPADU,0,SHAPE_VJA_003
VJA_004,ALL,TRIP_VJA_004,KALESWARARAO MARKET - KANURU,0,SHAPE_VJA_004
VJA_005,ALL,TRIP_VJA_005,KABELA - GOVERNMENT PRESS,0,SHAPE_VJA_005
VJA_006,ALL,TRIP_VJA_006,MILK PROJECT-DEVI NAGAR,0,SHAPE_VJA_006
VJA_007,ALL,TRIP_VJA_007,KABELA - AUTONAGAR,0,SHAPE_VJA_007
VJA_008,ALL,TRIP_VJA_008,KALESWARARAO MARKET - AUTONAGAR,0,SHAPE_VJA_008
VJA_009,ALL,TRIP_VJA_009,RAILWAY STATION - AUTONAGAR,0,SHAPE_VJA_009
VJA_010,ALL,TRIP_VJA_010,KALESWARARAO MARKET - PEDDA PULI PAKA,0,SHAPE_VJA_010
VJA_011,ALL,TRIP_VJA_011,MILK PROJECT - YANAMALA KUDHURU,0,SHAPE_VJA_011
VJA_012,ALL,TRIP_VJA_012,RAILWAY STATION - PENAMALURU,0,SHAPE_VJA_012
VJA_013,ALL,TRIP_VJA_013,RAILWAY STATION - CHODAVARAM,0,SHAPE_VJA_013
VJA_014,ALL,TRIP_VJA_014,MILK PROJECT - AUTONAGAR (ELURU ROAD),0,SHAPE_VJA_014
VJA_015,ALL,TRIP_VJA_015,KABELA - AUTONAGAR (ELURU ROAD),0,SHAPE_VJA_015
VJA_016,ALL,TRIP_VJA_016,WAGON WORKSHOP COLONY - MADHURA NAGAR,0,SHAPE_VJA_016
VJA_017,ALL,TRIP_VJA_017,ELAPROLU - SATYANARAYANAPURAM COLONY,0,SHAPE_VJA_017
VJA_018,ALL,TRIP_VJA_018,VOMBAY COLONY - GUNADALA,0,SHAPE_VJA_018
VJA_019,ALL,TRIP_VJA_019,KALESWARARAO MARKET - NEW RAJA RAJESWARI PET,0,SHAPE_VJA_019
VJA_020,ALL,TRIP_VJA_020,MADHURANAGAR - MANGALAGIRI,0,SHAPE_VJA_020
VJA_021,ALL,TRIP_VJA_021,KALESWARARAO MARKET - PENAMALURU,0,SHAPE_VJA_021
VJA_022,ALL,TRIP_VJA_022,FOURMEN BUNGLOW - GANGURU,0,SHAPE_VJA_022
VJA_023,ALL,TRIP_VJA_023,KALESWARARAO MARKET - KESARANENI VARI PALEM,0,SHAPE_VJA_023
VJA_024,ALL,TRIP_VJA_024,HB COLONY - AUTONAGAR,0,SHAPE_VJA_024
VJA_025,ALL,TRIP_VJA_025,PANJA - PANJA (BUNDAR ROAD),0,SHAPE_VJA_025
VJA_026,ALL,TRIP_VJA_026,PANJA - PANJA (ELURU ROAD),0,SHAPE_VJA_026
VJA_027,ALL,TRIP_VJA_027,KALESWARARAO MARKET - AUTONAGAR,0,SHAPE_VJA_027
VJA_028,ALL,TRIP_VJA_028,MILK PROJECT - AUTONAGAR,0,SHAPE_VJA_028
VJA_029,ALL,TRIP_VJA_029,MILK PROJECT - THADIGADAPA,0,SHAPE_VJA_029
VJA_030,ALL,TRIP_VJA_030,HB COLONY - AUTONAGAR,0,SHAPE_VJA_030
VJA_031,ALL,TRIP_VJA_031,VOMBAY COLONY - AUTONAGAR,0,SHAPE_VJA_031
VJA_032,ALL,TRIP_VJA_032,RAILWAY STATION - CHINNA KAKANI,0,SHAPE_VJA_032
VJA_033,ALL,TRIP_VJA_033,KALESWARARAO MARKET - NRI HOSPITAL (METRO),0,SHAPE_VJA_033
VJA_034,ALL,TRIP_VJA_034,RAILWAY STATION - MANGALAGIRI,0,SHAPE_VJA_034
VJA_035,ALL,TRIP_VJA_035,NSB NAGAR - AUTO NAGAR,0,SHAPE_VJA_035
VJA_036,ALL,TRIP_VJA_036,AUTONAGAR - NUNNA,0,SHAPE_VJA_036
VJA_037,ALL,TRIP_VJA_037,AUTONAGAR - VOMBAY COLONY,0,SHAPE_VJA_037
VJA_038,ALL,TRIP_VJA_038,KALESWARARAO MARKET - NUNNA,0,SHAPE_VJA_038
VJA_039,ALL,TRIP_VJA_039,KALESWARARAO MARKET - MANAGALAPURAM,0,SHAPE_VJA_039
VJA_040,ALL,TRIP_VJA_040,KALESWARARAO MARKET - KUNDA VARI KANDRIKA,0,SHAPE_VJA_040
VJA_041,ALL,TRIP_VJA_041,RAILWAY STATION - AUTONAGAR,0,SHAPE_VJA_041
VJA_042,ALL,TRIP_VJA_042,KALESWARARAO MARKET - KANURU,0,SHAPE_VJA_042
VJA_043,ALL,TRIP_VJA_043,RAILWAY STATION - KANURU,0,SHAPE_VJA_043
VJA_044,ALL,TRIP_VJA_044,KALESWARARAO MARKET - RAMAVARRAPADU,0,SHAPE_VJA_044
VJA_045,ALL,TRIP_VJA_045,RAILWAY STATION - RAMAVARAPPADU,0,SHAPE_VJA_045
VJA_046,ALL,TRIP_VJA_046,WHOLESALE MARKET - NIDAMANURU,0,SHAPE_VJA_046
VJA_047,ALL,TRIP_VJA_047,WHOLESALE MARKET - PORANKI,0,SHAPE_VJA_047
VJA_048,ALL,TRIP_VJA_048,KALESWARARAO MARKET - MUSTHABADH,0,SHAPE_VJA_048
VJA_049,ALL,TRIP_VJA_049,KALESWARARAO MARKET - GANNAVARAM,0,SHAPE_VJA_049
VJA_050,ALL,TRIP_VJA_050,KALESWARARAO MARKET - KG PADU,0,SHAPE_VJA_050
VJA_051,ALL,TRIP_VJA_051,RAILWAT STATION - VANUKURU / MADDHURU,0,SHAPE_VJA_051
